Unnamed: 0,id_cliente,qtd_filhos,idade,tempo_emprego,qt_pessoas_residencia,renda,sexo_F,sexo_M,tipo_renda_Assalariado,tipo_renda_Bolsista,tipo_renda_Empresário,tipo_renda_Pensionista,tipo_renda_Servidor público,educacao_Primário,educacao_Pós graduação,educacao_Secundário,educacao_Superior completo,educacao_Superior incompleto,estado_civil_Casado,estado_civil_Separado,estado_civil_Solteiro,estado_civil_União,estado_civil_Viúvo,tipo_residencia_Aluguel,tipo_residencia_Casa,tipo_residencia_Com os pais,tipo_residencia_Comunitário,tipo_residencia_Estúdio,tipo_residencia_Governamental,posse_de_veiculo_False,posse_de_veiculo_True,posse_de_imovel_False,posse_de_imovel_True,ano,mes,dia
0,15056,0,26,6.602739726027397,1.0,8060.34,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
1,9968,0,28,7.183561643835616,2.0,1852.15,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
2,4312,0,35,0.8383561643835616,2.0,2253.89,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
3,10639,1,30,4.846575342465753,3.0,6600.77,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
4,7064,0,33,4.293150684931507,1.0,6475.97,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2015,1,1
5,10581,0,39,4.345205479452055,2.0,1445.87,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
6,7129,0,55,6.3780821917808215,1.0,1726.03,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2015,1,1
7,9952,0,36,3.104109589041096,2.0,2515.98,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
8,883,0,50,18.6054794520548,2.0,3420.34,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
9,8070,0,60,10.558904109589042,2.0,12939.14,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
10,2221,0,39,2.0876712328767124,2.0,6402.41,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
13,12517,0,41,15.04109589041096,2.0,581.18,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
14,1268,0,58,4.586301369863014,2.0,25359.65,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
15,7249,1,31,2.043835616438356,2.0,1171.49,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
16,5551,0,53,8.545205479452052,2.0,3675.33,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
17,6573,0,45,15.82739726027397,1.0,19763.27,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
18,10667,1,44,6.934246575342466,2.0,13678.63,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
19,11760,0,26,6.1589041095890416,2.0,5287.82,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
20,12200,1,40,20.60821917808219,2.0,26174.03,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
24,1853,1,24,6.594520547945206,3.0,8264.29,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
26,16032,2,40,0.6273972602739726,4.0,4016.38,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
